标题,小区,区域,售价,单价,户型,面积,朝向,装修,楼层,年份,建筑类型,详情页
满五唯一，安静舒适的大四房，楼层美丽,博长山水香颐 ,万家丽南路,119.8,10055,4室2厅,119.15,南 北,精装,中楼层(共33层),2014年,塔楼,https://cs.lianjia.com/ershoufang/104111480154.html
此房简单装修，舒适两房，看房方便,中天佳园 ,德思勤,47,5809,2室2厅,80.91,南,简装,高楼层(共6层) ,,板楼,https://cs.lianjia.com/ershoufang/104111216329.html
毛竹塘地铁口 金碧物业 业主诚心出售,长沙恒大城 ,万家丽南路,109,10077,3室2厅,108.17,南 北,其他,低楼层(共18层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112895071.html
近地铁，次新小区，万科精装交付。,轨道万科悦府 ,武广新城,190,16390,3室2厅,115.93,南,精装,中楼层(共17层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113454242.html
中石化单位房  闹中取静小区 有天虹商场 七号线地铁口,西湖鸿运佳苑 ,德思勤,124,8774,4室2厅,141.33,南,其他,中楼层(共29层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113517512.html
万科金域华府 1室1厅 南,万科金域华府 ,武广新城,30,8801,1室1厅,34.09,南,精装,中楼层(共11层),2013年,板塔结合,https://cs.lianjia.com/ershoufang/104113523130.html
半山壹号 4室2厅 东南,半山壹号 ,武广新城,185,13840,4室2厅,133.68,东南,其他,高楼层(共34层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113276645.html
中航城品质高层，枫树山，直通地下室,中航城 ,万家丽南路,160,11127,4室2厅,143.8,南,其他,高楼层(共30层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104109663744.html
配套齐全  楼层合适 视野好  枫树山大桥,景江雅苑 ,武广新城,85,9627,2室2厅,88.3,东南,精装,高楼层(共18层),2010年,板塔结合,https://cs.lianjia.com/ershoufang/104109644413.html
雨花区次新小区大平层，有地铁公园读书也很方便,长房东旭国际 ,武广新城,268,13976,5室2厅,191.77,南,毛坯,高楼层(共32层) ,,板楼,https://cs.lianjia.com/ershoufang/104113286835.html
此房为满五唯一，楼梯三楼，一梯两户诚心出售,高桥皮具城 ,高桥,71,6840,2室1厅,103.81,南 北,简装,中楼层(共5层),2000年,板楼,https://cs.lianjia.com/ershoufang/104111110001.html
满五年，正规两室两厅，好住，也不缺租！可出租或自住,尚东紫郡 ,高桥,95,10949,2室2厅,86.77,南 北,其他,低楼层(共28层),2009年,塔楼,https://cs.lianjia.com/ershoufang/104111890054.html
满五，下楼双地铁口，沙湾公园入口，山姆，吉联MALL,半山公馆 ,武广新城,64,10402,1室1厅,61.53,北,精装,低楼层(共31层),2017年,塔楼,https://cs.lianjia.com/ershoufang/104112609185.html
16年次新小区，南北通透 住家精装 采光好 视野开阔,南城印象 ,喜盈门,106.8,11671,3室2厅,91.51,南 北,其他,中楼层(共32层),2014年,板塔结合,https://cs.lianjia.com/ershoufang/104111710549.html
泰禹家园一期精装拎包入住全屋暖气,泰禹家园一期 ,万家丽南路,108,8488,3室2厅,127.25,南 北,精装,高楼层(共6层),2005年,板楼,https://cs.lianjia.com/ershoufang/104112386778.html
万科魅力之城  万象里 四房两卫,万科魅力之城 ,武广新城,185,13658,4室2厅,135.46,南,其他,27层 ,,塔楼,https://cs.lianjia.com/ershoufang/104113191533.html
南北通透窗外有景，视野无遮挡，中高层采光视野好！,北大资源时光 ,洋湖垸,255,18259,4室2厅,139.66,南 北,简装,中楼层(共25层),2014年,板塔结合,https://cs.lianjia.com/ershoufang/104113101736.html
点石家装自住精装修，保养维护好！满五唯一！,北大资源时光 ,洋湖垸,239.8,17205,4室2厅,139.38,南 北,其他,高楼层(共25层),2014年,板塔结合,https://cs.lianjia.com/ershoufang/104112114003.html
市政府板块 美林银谷 全南户型 三房 6号线白鸽嘴站,美林银谷国际社区 ,河西步步高,140,10415,3室2厅,134.43,南,其他,高楼层(共31层),2007年,板塔结合,https://cs.lianjia.com/ershoufang/104111301743.html
米兰春天 复式一房一厅 装修不错 方便看房,米兰春天 ,含浦,25.8,8527,1室1厅,30.26,南,精装,低楼层(共35层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104111150591.html
钰龙天下精装2房2套打通90平68万,钰龙天下二期 ,观沙岭,34,7524,2室1厅,45.19,南,其他,中楼层(共33层),2014年,板楼,https://cs.lianjia.com/ershoufang/104113437908.html
满五唯一 公园景观尽收 万科物业,万科白鹭郡 ,洋湖垸,130,14249,3室2厅,91.24,南 北,其他,低楼层(共34层),2014年,板塔结合,https://cs.lianjia.com/ershoufang/104113365864.html
6号线地铁口，2022年的次新小区，精装三房，拎包即住,梦想新天地 ,东方红,160,13924,3室2厅,114.91,南,精装,高楼层(共30层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104112925072.html
梅溪湖步步高地铁口 次新小区 住宅性质公寓 随时看房,润芳园小区 ,东方红,34.8,7355,1室1厅,47.32,南,精装,中楼层(共25层),2016年,板塔结合,https://cs.lianjia.com/ershoufang/104113100946.html
格局分明 前后无遮挡 透风采光效果好,振业城二期 ,梅溪湖北岸,135,16916,2室2厅,79.81,东南,精装,33层,2017年,板塔结合,https://cs.lianjia.com/ershoufang/104111254929.html
一线临湖，业主自住精装，房型周正，环境优美 诚心卖,佳兆业云顶梅溪湖 ,梅溪湖南岸,278,19468,4室2厅,142.8,南 北,毛坯,低楼层(共34层),2020年,塔楼,https://cs.lianjia.com/ershoufang/104110271801.html
户型周正，shubao未用，梅溪湖,中国铁建梅溪青秀三期 ,梅溪湖北岸,145,14347,3室1厅,101.07,南,毛坯,高楼层(共32层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104111751127.html
中间楼层，视野采光好，业主自己住，诚心出售,梅溪湖金茂湾二期 ,梅溪湖南岸,236,16553,4室2厅,142.58,南 北,精装,高楼层(共31层) ,,板楼,https://cs.lianjia.com/ershoufang/104112383871.html
中海央企开发，一天未住，精装修，拎包入住麓山随时用,中海阅麓山 ,洋湖垸,181,18440,3室2厅,98.16,南,精装,中楼层(共26层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113216245.html
居家小两房 温馨装修看房随时 价格带车位,合能璞丽 ,梅溪湖北岸,115,17794,2室2厅,64.63,南,精装,中楼层(共31层),2015年,板塔结合,https://cs.lianjia.com/ershoufang/104108593835.html
6号线麓谷公园旁精装两房看房方便,加州阳光东区 ,麓谷东,78,9286,2室2厅,84,南,精装,低楼层(共17层),2011年,板塔结合,https://cs.lianjia.com/ershoufang/104110467071.html
含浦锑都家园 清水毛坯 诚心出售,锑都家园 ,含浦,68,5756,3室2厅,118.14,南,毛坯,高楼层(共33层),2006年,板楼,https://cs.lianjia.com/ershoufang/104103734849.html
地铁100米 临湖小区房 居家装修 高楼层视野好,中建梅溪湖中心 ,梅溪湖北岸,168,17959,3室2厅,93.55,南,精装,高楼层(共43层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104109679531.html
产证在手过户快、房子楼栋位置处于小区中间安静不吵闹,中国铁建梅溪青秀一期 ,梅溪湖北岸,118,15558,2室2厅,75.85,南,其他,高楼层(共34层),2013年,板塔结合,https://cs.lianjia.com/ershoufang/104113503142.html
麓谷公园相邻，南北通透，通风采光好地铁口三房,远大麓园 ,麓谷东,99.98,7903,3室2厅,126.52,东 东南 南 北,精装,高楼层(共18层),2009年,板楼,https://cs.lianjia.com/ershoufang/104109608339.html
西湖公园旁，金星路地铁口写字楼，配套成熟，交通方便,润嘉公园道 ,岳麓山北,140,10000,2室1厅,140,南,其他,高楼层(共19层) ,,板楼,https://cs.lianjia.com/ershoufang/104113237052.html
公务员小区人车分流花园式小区，中间楼层业主诚心出售,麓谷明珠 ,枫林三路,92,10809,2室1厅,85.12,南,其他,中楼层(共18层),2012年,板塔结合,https://cs.lianjia.com/ershoufang/104113355879.html
高楼层采光好 交通便利 2房户型 诚心出售,望月湖小区六片区 ,溁湾镇,45,8592,2室2厅,52.38,南,其他,高楼层(共7层),1990年,板楼,https://cs.lianjia.com/ershoufang/104110978281.html
房子自主装修，带地暖，楼层好，视野开阔，交通便利,湘熙水郡 ,洋湖垸,128,13644,3室2厅,93.82,东南 南,其他,高楼层(共27层),2018年,板塔结合,https://cs.lianjia.com/ershoufang/104110523998.html
精装修大三房，满五唯一保养好，南北通风,锑都家园 ,含浦,72.8,5572,3室2厅,130.66,南 北,其他,高楼层(共6层),2006年,板楼,https://cs.lianjia.com/ershoufang/104110806360.html
云顶三房，一线看山，采光充足，业主诚心出售，带装修,佳兆业云顶梅溪湖 ,梅溪湖南岸,168,15601,3室2厅,107.69,东南,精装,高楼层(共25层),2014年,塔楼,https://cs.lianjia.com/ershoufang/104111253629.html
三开间朝南户型，平地面1楼，简单装修.,远大麓园 ,麓谷东,82,8952,3室1厅,91.6,东 南,其他,低楼层(共18层),2009年,板楼,https://cs.lianjia.com/ershoufang/104111888736.html
金茂湾二期四房 毛坯 正规四房,梅溪湖金茂湾二期 ,梅溪湖南岸,220,15479,4室2厅,142.13,南,毛坯,低楼层(共33层),2018年,板塔结合,https://cs.lianjia.com/ershoufang/104111976014.html
米兰春天，小高层，满五唯一，中间楼层。,米兰春天 ,含浦,108,7471,4室2厅,144.56,南 北,简装,中楼层(共9层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113523259.html
居家4房，产证在手，门口沃尔玛。,枫华府第 ,含浦,82,7841,4室2厅,104.58,南,精装,低楼层(共18层) ,,板楼,https://cs.lianjia.com/ershoufang/104112897934.html
中海国际大四房，自住精装修，只住了三年，可拎包入住,中海国际社区三期 ,含浦,136,10429,4室2厅,130.41,南,精装,中楼层(共33层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112188199.html
小洋房一楼视野开阔 带花园 全新装修 标准大四房,新城和樾 ,金霞,132,9080,4室2厅,145.39,南 北,精装,低楼层(共33层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112896145.html
小区临湖三房，中间楼层视野好 冬暖夏凉,万国城MOMA三期 ,福元西路,88.88,9949,3室2厅,89.34,南,其他,高楼层(共34层),2012年,板塔结合,https://cs.lianjia.com/ershoufang/104112830074.html
次新小区，地铁口，小高层，随时可看，刚需好房,幸福考拉789 ,金霞,88,9580,3室2厅,91.86,南,其他,中楼层(共23层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104111918901.html
看房方便，中间楼层，价格可谈，随时签约,恒大御景半岛锦绣苑 ,湘江世纪城,175,12153,3室2厅,144,南 北,其他,中楼层(共46层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112740107.html
次新小区 公摊小 户型周正 清水毛坯 采光好 视野好,金辉优步湖畔 ,金霞,105,8912,4室2厅,117.82,南 北,其他,低楼层(共33层) ,,塔楼,https://cs.lianjia.com/ershoufang/104113086133.html
万煦园 地铁口 精装修三房 电梯房,万煦园 ,四方坪,138,11230,3室2厅,122.89,南,其他,中楼层(共6层),2007年,板楼,https://cs.lianjia.com/ershoufang/104111496889.html
户型周正，采光和通风都很不错，业主诚心出售，好楼层,万煦园 ,四方坪,101,9302,3室2厅,108.58,南,精装,中楼层(共6层),2007年,板楼,https://cs.lianjia.com/ershoufang/104111680366.html
地铁口采 户型周正 光充足 环境优美 教育齐全,湘诚德峰小区C区 ,金霞,156,8429,4室1厅,185.09,南 北,其他,高楼层(共27层),2014年,板楼,https://cs.lianjia.com/ershoufang/104113332215.html
四季美景水木轩 南北通透 三房 业主诚意出售,四季美景水木轩 ,四方坪,98,8029,3室2厅,122.07,南 北,精装,低楼层(共17层),2007年,板楼,https://cs.lianjia.com/ershoufang/104110504660.html
福泽园 精装小三房 国防科大旁 近湘雅医院 华创,福泽园 ,四方坪,96,10099,3室2厅,95.06,南 北,精装,高楼层(共31层),2016年,板塔结合,https://cs.lianjia.com/ershoufang/104113418775.html
珠江璞墅 装修好保养新 位置安静 业主诚心卖 带双车位,珠江郦城璞墅 ,福元西路,640,30038,6室2厅,213.07,南 北,精装,低楼层(共4层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104111692363.html
湘一史家坡   自住装修精装四房  交通便利   环境优美,庄园心伽泊 ,福元西路,130,10570,4室2厅,123,南 北,其他,中楼层(共32层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104110108597.html
月湖兰庭 广电地铁物业 精装一房,月湖兰庭 ,广电,37,7435,1室1厅,49.77,南,精装,高楼层(共28层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104109658978.html
户型方正  可以看江  2梯3户  高得房3阳台,绿地海外滩一期 ,金霞,75,7741,3室2厅,96.89,东南,毛坯,高楼层(共33层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104110424400.html
开福区万达广场 精致三房 可以看江景，出行方便,潮宗御苑 ,松桂园,279,18852,3室2厅,148,西南,其他,中楼层(共46层),2013年,板塔结合,https://cs.lianjia.com/ershoufang/104109134769.html
顶楼复式公摊小  带双露台  交通便利  格局通透,金帆小区 ,四方坪,120,7602,4室2厅,157.86,南,其他,高楼层(共8层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104110147322.html
湖山赋联排别墅，户型通透，共三层,湖山赋 ,金霞,335,21382,4室2厅,156.68,南,其他,低楼层(共3层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104111436463.html
香樟雅郡 两房两厅  精装修  诚心出售,香樟雅郡 ,四方坪,98,9911,2室2厅,98.89,南 北,其他,低楼层(共17层),2008年,塔楼,https://cs.lianjia.com/ershoufang/104111917025.html
万科城全新三房，未入住过，家具家电齐全，可拎包入住,万科城三期 ,福元西路,110,12800,3室2厅,85.94,南,精装,中楼层(共34层),2014年,板塔结合,https://cs.lianjia.com/ershoufang/104109194816.html
月湖公园 双地铁 藏珑复式洋房 挑高客厅 带大露台,藏珑湖上国际花园 ,广电,388,20664,5室2厅,187.77,南,其他,中楼层(共4层) ,,板楼,https://cs.lianjia.com/ershoufang/104112305244.html
业主诚心出售，地铁口，纯板楼，拎包入住,四季美景 ,四方坪,115,9999,3室2厅,115.02,东南,简装,中楼层(共11层),2007年,板楼,https://cs.lianjia.com/ershoufang/104109124625.html
业主国外发展诚心出售 周正大三房 免个税 随时看,世纪城鸿江苑 ,湘江世纪城,139,9973,3室2厅,139.39,南 北,其他,低楼层(共33层),2010年,板楼,https://cs.lianjia.com/ershoufang/104113662322.html
山语城三期 品质小区 精装三房保养好 楼层好 拎包入住,中国铁建山语城三期 ,金霞,150,12738,3室2厅,117.76,南 北,其他,中楼层(共34层),2015年,板塔结合,https://cs.lianjia.com/ershoufang/104113664150.html
马厂地铁口3.5米层高毛坯gy诚心出售价格可谈,润和国际广场 ,福元西路,45,8961,1室1厅,50.22,南,其他,中楼层(共27层) ,,塔楼,https://cs.lianjia.com/ershoufang/104112009377.html
三开间朝南，明厨明卫，得房率高，看房方便,世纪城映江苑 ,湘江世纪城,95.8,11250,3室1厅,85.16,南,其他,低楼层(共33层),2010年,塔楼,https://cs.lianjia.com/ershoufang/104112265204.html
一室一厅，朝北户型，诚心出售。,如果爱 ,四方坪,31,7320,1室1厅,42.35,南 北,简装,低楼层(共24层),2008年,板塔结合,https://cs.lianjia.com/ershoufang/104112860880.html
中间楼层，采光好，业主诚心出售，精装修，户型周正,宜家湘颂 ,四方坪,72,9149,2室1厅,78.7,南,其他,中楼层(共33层),2016年,板塔结合,https://cs.lianjia.com/ershoufang/104112655724.html
科大北苑南北通透大三房 双阳台采光好 生活交通便利,科大佳园北苑 ,四方坪,158,10925,3室2厅,144.63,南 北,简装,低楼层(共18层),2010年,板楼,https://cs.lianjia.com/ershoufang/104112219147.html
世纪城周正两房，居家装修，业主诚心出售,世纪城鸿江苑 ,湘江世纪城,95,9966,2室2厅,95.33,南,简装,中楼层(共33层),2008年,板楼,https://cs.lianjia.com/ershoufang/104112633589.html
清水塘指标未用地铁口单价低视野开阔,江滨玫瑰园 ,湘江世纪城,80,6886,3室2厅,116.19,南,简装,高楼层(共6层),2002年,板楼,https://cs.lianjia.com/ershoufang/104108366553.html
德政园怡心苑 3室2厅 南,德政园怡心苑 ,德政园,97.8,8668,3室2厅,112.83,南,简装,中楼层(共7层),2001年,板楼,https://cs.lianjia.com/ershoufang/104113565220.html
精装修 拎包即住 好楼层好视野 满五唯一户型周正,恒大江湾 ,汽车东站,78,9776,2室1厅,79.79,南,精装,高楼层(共28层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113198225.html
次新小区.园林绿化好.业主自住装修.拎包入住,恒大江湾 ,汽车东站,82,10279,2室2厅,79.78,南,精装,中楼层(共28层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113241835.html
南北通透双阳台自住精装修全屋空调带暖气片无个税,世嘉国际华城二期 ,芙蓉区政府,158,10847,3室2厅,145.67,南 北,精装,26层,2009年,板塔结合,https://cs.lianjia.com/ershoufang/104113137737.html
精装两房。拎包入住价格可以谈，看房方便,鑫苑芙蓉鑫家 ,汽车东站,108,12563,2室2厅,85.97,南,精装,中楼层(共18层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112972031.html
芙蓉区产权 精装三房两卫 满五唯一省个税 业主诚心,才子佳郡 ,汽车东站,82,9205,3室2厅,89.09,南 北,精装,中楼层(共26层),2014年,塔楼,https://cs.lianjia.com/ershoufang/104112934727.html
房子是开发商精装临地铁6号线随时看房,鑫苑芙蓉鑫家 ,汽车东站,106.8,12419,2室1厅,86,南,其他,低楼层(共18层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112955281.html
爵世名邸东湖 中高楼层 近6号线东湖站诚心卖,爵世名邸东湖 ,汽车东站,80.8,8217,3室2厅,98.34,南,毛坯,高楼层(共34层),2017年,板楼,https://cs.lianjia.com/ershoufang/104111222375.html
浏阳河6号线地铁开发商精装三房中交公园旁芙蓉鑫家,鑫苑芙蓉鑫家 ,汽车东站,123,10869,3室2厅,113.17,南,其他,低楼层(共27层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113014418.html
户型通透格局好，低楼层，采光视野无遮挡，诚心出售,东方新城 ,德政园,82,9467,2室2厅,86.62,南,其他,中楼层(共5层),2001年,板楼,https://cs.lianjia.com/ershoufang/104111425984.html
双地铁口，环境好，楼层好，精品三房出售,世嘉国际华城一期 ,芙蓉区政府,110,10167,3室2厅,108.2,南,其他,中楼层(共14层),2005年,板楼,https://cs.lianjia.com/ershoufang/104111011438.html
地铁口 通透毛坯三房满五唯一随时看房,盛隆佳园 ,汽车东站,126.8,10156,3室2厅,124.86,西南,其他,中楼层(共23层),2016年,板楼,https://cs.lianjia.com/ershoufang/104112893922.html
中交公园一期  中间楼栋东边户  精装修大三房,中交中央公园 ,汽车东站,126,10011,3室2厅,125.87,南,其他,低楼层(共28层) ,,板楼,https://cs.lianjia.com/ershoufang/104112577590.html
D1区房子 此房满五唯一 正对花园 户型周正  采光好,中交中央公园 ,汽车东站,129.6,11142,3室2厅,116.32,南,毛坯,低楼层(共34层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112699299.html
汽车东站 马王堆 精装自住两房 浏阳河旁 交通便利,辉煌国际城 ,汽车东站,85,10255,2室1厅,82.89,南,其他,高楼层(共30层),2015年,板塔结合,https://cs.lianjia.com/ershoufang/104112859356.html
辉煌一期，浏阳河畔，经典大两房，业主诚心出售，,辉煌国际城 ,汽车东站,73,8807,2室2厅,82.89,南,精装,高楼层(共30层),2015年,板塔结合,https://cs.lianjia.com/ershoufang/104111936654.html
省电信单位房，小区安静，居家舒适，得房高,天园假日 ,汽车东站,93.88,10463,3室2厅,89.73,南,精装,中楼层(共16层),2012年,板塔结合,https://cs.lianjia.com/ershoufang/104113280620.html
芙蓉区汇一城满五唯一自住房，中低楼层通透边户，,汇一城 ,汽车东站,105,10307,3室1厅,101.88,东南,精装,中楼层(共25层),2015年,塔楼,https://cs.lianjia.com/ershoufang/104113272699.html
袁家岭  人民新村三楼  单位房  双地铁 近湘雅附二,人民新村社区 ,火车站,34.5,7393,1室1厅,46.67,南,简装,6层,1992年,板楼,https://cs.lianjia.com/ershoufang/104111912951.html
芙蓉广场 浏城桥 复式楼 正规一室一厅 出售,科达名居 ,浏城桥,40,9253,1室1厅,43.23,南,其他,低楼层(共21层) ,,塔楼,https://cs.lianjia.com/ershoufang/104113308097.html
满五唯一 银港大三房带大入户 房东换房诚心出,银港水晶城 ,马王堆,115,8815,3室2厅,130.47,南 北,其他,高楼层(共18层),2006年,板塔结合,https://cs.lianjia.com/ershoufang/104113276722.html
20年次新小区浏阳河边恒大江湾精装修2房 随时看房,恒大江湾 ,汽车东站,80,10027,2室2厅,79.79,南,其他,高楼层(共28层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113243913.html
人民东路 长房东云台毛坯四房出售 近芙蓉天街,长房东云台 ,汽车东站,140,10549,4室2厅,132.72,南 北,毛坯,低楼层(共32层),2017年,板楼,https://cs.lianjia.com/ershoufang/104113579353.html
满五唯一，地铁7号线，温馨两居室，价格可议,恒大江湾 ,汽车东站,88.8,10914,2室2厅,81.37,南,精装,29层,2016年,板塔结合,https://cs.lianjia.com/ershoufang/104113549243.html
爵世名邸东湖 视野好 满五唯一精装修三房出售,爵世名邸东湖 ,汽车东站,102,10317,3室2厅,98.87,南,精装,高楼层(共34层) ,,平房,https://cs.lianjia.com/ershoufang/104113573661.html
汽车东站恒大江湾朝南户型周正 精装三房拎包入住,恒大江湾 ,汽车东站,98,9471,3室2厅,103.48,南,其他,32层 ,,板塔结合,https://cs.lianjia.com/ershoufang/104112412799.html
2020七月份交房的新小区，物业管理严格，小区绿化高,龙湖碧桂园天宸原著 ,汽车东站,210,14769,4室2厅,142.19,南,毛坯,中楼层(共34层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104112248577.html
此房满五唯一，南北通透，采光充足，拎包入住。,汇一城 ,汽车东站,106,9129,4室2厅,116.12,南 北,精装,低楼层(共22层),2015年,板塔结合,https://cs.lianjia.com/ershoufang/104112290133.html
装修佳：装修，典雅风格，家具齐全可拎包入住。,东业上城嘉苑 ,汽车东站,112.8,9400,4室2厅,120,南 北,精装,高楼层(共27层),2015年,板塔结合,https://cs.lianjia.com/ershoufang/104112069032.html
房子是开发商精装修 业主诚心出售,鑫苑芙蓉鑫家 ,汽车东站,109,12078,3室2厅,90.25,南,精装,高楼层(共25层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112366948.html
复式楼，南北通透，采光通风好，带双包,阳光城尚东湾蓝莓苑 ,武广新城,145,11354,4室2厅,127.71,北 南,毛坯,低楼层(共31层),2020年,板塔结合,https://cs.lianjia.com/ershoufang/104113269530.html
业主自住装修全屋暖气片，木地板，很少住，保养新,兰亭湾畔二期三期 ,洋湖垸,143.8,12500,3室2厅,115.04,南 北,精装,低楼层(共32层),2013年,板楼,https://cs.lianjia.com/ershoufang/104113352073.html
地铁口精装两房，月租2300左右，适合住也适合收租,华侨假日中心 ,东方红,75,9194,2室2厅,81.58,南,精装,高楼层(共31层),2016年,板塔结合,https://cs.lianjia.com/ershoufang/104112959946.html
此房诚心出售，户型周正，楼间距宽,旺德府恺悦国际 ,月湖,68.8,7100,3室2厅,96.91,南,精装,低楼层(共28层),2015年,塔楼,https://cs.lianjia.com/ershoufang/104111564239.html
远洋外滩壹号 3室2厅 南 北,远洋外滩壹号 ,观沙岭,239,17356,3室2厅,137.71,南 北,毛坯,低楼层(共27层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113560052.html
铁道学院精装两房 小区居住舒适人车分流 随时看房,天鸿中央大院 ,铁道学院,52,9598,2室1厅,54.18,南,精装,低楼层(共34层),2016年,板楼,https://cs.lianjia.com/ershoufang/104113097402.html
湘江新区 精装洋房 设计师精心打造 唯一 可以看谷山,润和山水郡 ,望城区,160,12500,5室2厅,128,南 北,精装,中楼层(共8层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104112996325.html
正地铁金星路站，正规3房，客厅朝南户型，领包即住,星语林阿普阿布 ,金星中路,94.8,12288,3室2厅,77.15,南,精装,高楼层(共16层),2013年,板塔结合,https://cs.lianjia.com/ershoufang/104113033234.html
二环内公寓 首付 三萬总价低 玖年清水塘,深业堤亚纳湾一期 ,金霞,27,5700,1室1厅,47.37,北,精装,中楼层(共24层),2010年,板塔结合,https://cs.lianjia.com/ershoufang/104113064506.html
居家装修，拎包入住，满五唯一。,泰禹云开壹品 ,万家丽南路,105,11830,3室2厅,88.76,南,其他,中楼层(共18层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113632776.html
2/6正地铁，装修大三房品质小区通透户型,湘域熙岸 ,尚东,155,13253,3室1厅,116.96,南 北,精装,32层,2014年,板塔结合,https://cs.lianjia.com/ershoufang/104112887757.html
香樟兰亭  经典4加1户型  纯毛坯  这个价带车位,香樟兰亭 ,树木岭,135,11026,4室2厅,122.44,南,毛坯,高楼层(共33层),2014年,板塔结合,https://cs.lianjia.com/ershoufang/104110905327.html
次新小区，珠江国企开发商，品质优秀,珠江好世界 ,福元西路,130,13916,3室2厅,93.42,南,其他,中楼层(共34层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113446513.html
户型好 采光好 物业好 业主诚心出售 清水毛坯,三润城 ,金星北,81.8,7685,3室2厅,106.45,南,毛坯,高楼层(共33层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113295334.html
地铁口 恒大御景天下 满五唯一 省个税 诚心出售,恒大御景天下二期 ,金霞,99,7545,3室2厅,131.22,南 北,毛坯,中楼层(共32层) ,,塔楼,https://cs.lianjia.com/ershoufang/104111759078.html
八方B区、中间位置  中间楼层 自住中等装修 看房方便,八方小区B区 ,市政府,428,33773,3室2厅,126.73,东南,简装,中楼层(共33层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113018926.html
楼层好.视野宽阔.采光充足.配套设施齐全.交通便利.,万科魅力之城 ,武广新城,189.8,15093,4室2厅,125.76,南 北,精装,34层 ,,板塔结合,https://cs.lianjia.com/ershoufang/104112865861.html
全新未入住，品质自住装修，拎包入住,保利天禧 ,银盆岭,218,19909,3室2厅,109.5,南,精装,高楼层(共46层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104112185783.html
电梯房 高楼层 已经敲掉装修了，低单价，有钥匙看房,裕华园 ,晚报,68,5255,3室2厅,129.42,南,其他,高楼层(共9层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104109206242.html
北辰地铁口 精品一房 满五唯一，朝南户型,北辰三角洲奥城E3区 ,北辰三角洲,64,12203,1室1厅,52.45,东,精装,中楼层(共48层),2013年,板塔结合,https://cs.lianjia.com/ershoufang/104111922351.html
近三条地铁口 户型周正 业主诚心出售 中间楼层,泊爱蓝湾 ,尚东,112,9490,3室2厅,118.03,南,其他,中楼层(共28层),2013年,板楼,https://cs.lianjia.com/ershoufang/104113625069.html
业主自住2房户型周正，采光充足，业主诚售,水映加州依云郡 ,青竹湖,160,19632,2室2厅,81.5,南,精装,高楼层(共27层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113587920.html
地铁口，次新小区，得房多，开发商精装，随时可以看,幸福考拉789 ,金霞,65.8,7952,2室2厅,82.75,南,精装,低楼层(共28层) ,,板塔结合,https://cs.lianjia.com/ershoufang/104113256548.html
明昇壹城二期，安静楼栋，中层，前后无遮挡，视野好，,明昇壹城 ,武广新城,238.8,16763,4室2厅,142.46,南 北,毛坯,中楼层(共33层) ,,板楼,https://cs.lianjia.com/ershoufang/104113550229.html
近螺丝塘地铁口全新毛坯看房方便，钥匙在手。,电建星湖湾高层一期 ,开元路,68,7632,3室2厅,89.1,南,毛坯,中楼层(共34层),2017年,板楼,https://cs.lianjia.com/ershoufang/104113635645.html
急售 地铁口  单位好房  免费停车，离公园近,国家税务总局长沙市芙蓉区税务局宿舍 ,晚报,95,7758,3室2厅,122.47,南,其他,低楼层(共8层) ,,暂无数据,https://cs.lianjia.com/ershoufang/104113347745.html
